,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
10,<START>,Mheas,'Fear,na,Cathrach,',in,Fáinne,an,Lae,nár,Bhéarlachas,",",mar,a,thuigtí,agus,a,cháintí,go,coitianta,",",a,bhí,ag,tarlú,ach,forbairt,riachtanach,don,teanga,faoi,anáil,sheachtrach,ón,Eoraip,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,<START>,Chuir,'Fear,na,Tuaithe,',ina,choinne,sin,go,léir,agus,mhaígh,sé,-,mar,a,dhéanfadh,an,Corcorach,in,Humanitas,ar,ball,!,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,<START>,Is,é,pointe,a,bhaineann,Ó,Conchubhair,as,an,aighneas,seo,gur,mór,an,trua,nár,tapaíodh,deis,na,hargóna,nó,nár,glacadh,léi,mar,chuid,de,dhioscúrsa,na,hAthbheochana,feasta,:,``,Níor,ghlac,aon,duine,seachas,'Fear,na,Tuaithe,',leis,an,dúshlán,a,chruthaigh,'Fear,na,Cathrach,',",",agus,níor,glacadh,leis,an,díospóireacht,mar,chuid,de,chanóin,na,hAthbheochana,ar,chúiseanna,nach,eol,nó,nach,léir,dúinn,inniu,.,'',<END>,,,,,,,,,,,,,,,,,,,,
13,<START>,Ní,phléifear,stair,Athbheochan,na,Gaeilge,feasta,gan,ionad,seasta,sa,díospóireacht,a,bheith,ag,Fin,de,Siècle,na,Gaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,<START>,Is,Éireannach,é,Colum,",",fear,a,rugadh,i,mBaile,Átha,Cliath,",",sa,bhliain,1965,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,<START>,Caithfear,suntas,a,thabhairt,don,chaoi,a,gcuireann,sé,tús,le,Let,The,Great,World,Spin,",",le,cur,síos,ar,eachtra,Philippe,Petit,sa,bhliain,1974,nuair,a,shiúil,an,téadchleasaí,sin,trasna,",",ar,théad,rite,",",ó,cheann,amháin,de,thúir,an,World,Trade,Centre,go,dtí,an,ceann,eile,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,<START>,Téann,sé,ar,aghaidh,ansin,",",le,scéalta,na,gcarachtar,éagsúil,a,ríomh,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,<START>,Cuireann,an,t-údar,``,Tillie,'',in,aithne,dhúinn,",",agus,í,ag,saothrú,a,coda,le,striapachas,",",agus,fiú,nach,dtógann,sí,a,hiníon,óg,léi,ar,an,ród,céanna,sin,!,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,<START>,Chuaigh,an,leabhar,seo,i,guíonn,go,mór,orm,fhéin,agus,do,'éirigh,leis,an,údar,a,scéal,a,shá,isteach,go,smior,na,gcnámh,ionam,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,<START>,De,réir,na,bhfógraí,bhí,Cohen,chun,tosnú,ar,a,hocht,a,chlog,ach,cinnte,bheadh,an,réalt,déanach,",",bhí,fuílleach,ama,ag,an,slua,siúl,timpeall,san,fhearthainn,Éireannach,éadrom,chun,casadh,le,cairde,gan,choinne,nó,seasamh,sna,scuainí,chun,pláta,pasta,",",pónairí,nó,paella,a,ordú,le,fíon,na,Fraince,ó,na,seastáin,",",na,blasanna,agus,na,torainn,difriúla,ag,mealladh,na,ndaoine,a,bhí,ag,spaisteoireacht,i,lár,laethanta,saoire,an,tsamhraidh,",",an,lá,fós,ina,lá,agus,foirgnimh,Lisadell,ina,seasamh,go,lách,sa,chúlra,.,<END>
20,<START>,Bhí,fear,amháin,lena,bhean,chéile,",",a,gruaig,fhada,bhán,le,bláth,socruithe,sa,chluas,",",ba,'fhéidir,cúpla,roe,níos,mó,ar,a,héadan,ón,gcéad,uair,a,chuala,siad,ceol,ón,gCeanadach,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,<START>,Thacaigh,na,mná,ar,stáitse,",",iad,gléasta,i,gcultacha,foirmeálta,dubha,",",beirt,dheirfiúracha,agus,Mrs,Robinson,",",comhscríbhneoir,liricí,Leonard,ag,tacú,go,tréan,",",deacracht,acu,gáire,a,cheilt,tar,éis,bualadh,bos,agus,an,spraoi,ón,slua,;,thug,Leonard,aitheantas,don,bhfoireann,go,léir,",",gníomh,daonna,an,amhránaí,aosta,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,<START>,Polaiteoir,ab,ea,Angelo,Vassallo,",",a,bhí,tofa,don,dara,téarma,níos,túisce,i,mbliana,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,<START>,Ba,',é,sin,an,polasaí,a,tharraing,a,bhás,",",dar,lena,lán,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,<START>,Ba,dhuine,den,chineál,sin,é,Vassallo,",",agus,maraíodh,é,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,<START>,Neartaíodh,an,dóchas,sin,níos,túisce,sa,Samhradh,nuair,a,gabhadh,nach,mór,ceithre,chéad,ball,do,',eagraíocht,eile,",",an,'Ndrangheta,",",a,bhíonn,ag,feidhmiú,i,gcúige,Calabria,",",agus,ceapadh,go,mba,bhuille,throm,é,sin,do,cheann,de,na,ceithre,eagraíocht,mhóra,choiriúla,san,Iodáil,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,<START>,Tá,an,pobal,amhrasach,go,maith,faoin,méid,sin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,<START>,Chomh,fada,siar,leis,na,1820dí,",",bhí,'cumann,cabhrach,',bunaithe,i,réigiún,lár,na,Sicile,",",ar,thug,a,bhunaitheoirí,an,Sacra,Unione,air,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,<START>,Tháinig,siad,chun,cinn,go,háirithe,sa,tSicil,tar,éis,deireadh,bheith,curtha,leis,an,bhfeodachas,ann,",",rud,a,tharta,in,1812,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,<START>,Gan,mórán,achair,",",facthas,don,phobal,gurbh,fhearrde,iad,bheith,cuiditheach,leis,na,dreamanna,seo,",",mar,nach,raibh,na,húdaráis,áitiúla,in,ann,an,chosaint,ba,ghá,a,chur,ar,fail,dóibh,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,<START>,Do,'fhág,sin,go,raibh,cairde,sa,chúirt,acu,",",agus,ba,dheacair,an,dlí,a,chur,orthu,go,héifeachtach,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,<START>,I,ndiaidh,an,Dara,Chogaidh,",",sna,1940idí,",",bhi,saol,polaitiúil,na,hlodáile,corraithe,go,maith,",",agus,rialtas,i,ndiaidh,rialtais,ag,teacht,is,ag,imeacht,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,<START>,Taca,an,ama,chéanna,",",bhi,breithimh,sa,tuaisceart,ag,tosú,ar,iarracht,le,breabaireacht,pholaitiúil,ag,lucht,gnó,a,thabhairt,chun,solais,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,<START>,(,Tá,Silvio,Berlusconi,",",an,príomhaire,reatha,",",fós,ag,iarraidh,buntáiste,a,bhaint,as,a,stádas,chun,stop,a,chur,le,taighde,agus,cúisimh,ina,choinne,féin,maidir,le,caimiléireacht,.,),<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,<START>,Dhá,mhí,ina,dhiaidh,sin,",",maraíodh,breitheamh,eile,",",cara,le,Falcone,",",Paolo,Borsellino,",",agus,cúigear,póilíní,le,carrbhuama,i,Palermo,féin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,<START>,A,mhalairt,ar,fad,:,thuigeadar,gurbh,ann,dóibh,",",agus,go,raibh,neart,acu,ina,gcearna,éagsúla,den,tír,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,<START>,Fadhb,Luimnigh,iad,",",ar,bhealach,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,<START>,Deineann,foinsí,éagsúla,meastacháin,an-difriúla,ar,láimhdeachas,airgid,na,mbuíonta,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,<START>,Is,é,a,shamhlaíonn,an,pobal,leis,na,dreamanna,seo,",",robáil,",",drugaí,agus,ba,'fhéidir,striapachas,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,<START>,Ach,tá,na,buíonta,sáite,i,ngnóthaí,eile,",",gnóthaí,a,mbeadh,cosúlacht,neamhdhíobhálach,go,maith,orthu,:,comhlachtaí,iompair,",",an,tionscal,tógála,",",tionscal,na,n-éadaí,",",an,turasóireacht,agus,-,i,gcás,an,Camorra,agus,an,'Ndrangheta,go,háirithe,-,déileáil,le,dramhaíol,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,<START>,Tá,siad,rannpháirteach,i,sracaireacht,agus,i,dtionscal,onnmhairiú,is,allmhairiú,na,n-arm,chomh,maith,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,<START>,Agus,táid,ann,a,deir,go,bhfuil,cuid,acu,-,an,Cosa,Nostra,(,go,follasach,),agus,an,'Ndrangheta,go,háirithe,-,ag,feidhmiú,go,forleathan,thar,lear,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,<START>,Is,éasca,dóibh,a,thuilleadh,a,earcú,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,<START>,Scéalta,bleachtaireachta,suite,in,Éirinn,sa,7ú,haois,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,<START>,Ní,nóisean,de,mo,chuidse,atá,anseo,mar,bhunús,le,sraith,nua,coiriúlachta,",",ach,cur,síos,ar,scéalta,Sister,Fidelma,",",a,bhfuil,na,milliúin,á,léamh,ar,fud,an,domhain,le,blianta,anuas,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,<START>,'Rug,sé,greim,níos,doichte,ar,dhorn,a,chlaidhimh,le,láimh,amháin,agus,choimeád,sé,an,lóchrann,in,airde,leis,an,láimh,eile,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,<START>,Sliocht,atá,ansin,ó,ghearrscéal,dar,teideal,Scréach,ón,Tuama,",",a,do,'aistrigh,an,Dr.,Gearóid,Ó,Laoi,ó,Bhéarla,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,<START>,Tógadh,i,Sasana,é,:,ba,Éireannach,é,a,athair,agus,de,bhunadh,Sasanach,agus,Briotánach,araon,a,mháthair,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,<START>,Bhí,cuireadh,agam,labhairt,leo,faoin,gceist,seo,",",``,Fidelma,agus,an,Ghaeilge,'',;,ach,de,réir,mar,a,bhí,taighde,á,dhéanamh,agam,roimh,ré,",",ba,léir,dom,go,raibh,ceisteanna,níos,leithne,le,cur,freisin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,<START>,Níl,san,alt,seo,agam,ach,screamh,an,scéil,",",áfach,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,<START>,Dá,bharr,sin,",",níl,aon,réasúnaíocht,laistiar,do,'aistriúchán,ó,Bhéarla,go,Gaeilge,",",dar,le,Caoilfhionn,Nic,Pháidín,",",stiúrthóir,an,fhoilsitheora,Cois,Life,:,``,Is,fearr,le,léitheoirí,an,bhunteanga,",",má,tá,sí,acu,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,<START>,``,Ni,bheinnse,ag,iarraidh,an,doras,a,oscailt,ar,fad,",",ach,ba,chóir,go,mbeadh,solúbthacht,ann,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,<START>,Le,linn,an,Ghorta,Mhóir,atá,na,scéalta,suite,",",tráth,a,raibh,Gaeilge,mar,theanga,labhartha,ag,na,carachtair,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,<START>,Ceann,acu,ná,leabhair,do,dhéagóirí,",",atá,tearc,a,ndóthain,i,nGaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,<START>,``,Is,obair,chruthaíoch,é,an,t-aistriúchán,freisin,",",'',a,deir,Seosamh,Ó,Murchú,",",Eagarthóir,Sinsearach,leis,an,nGúm,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,<START>,Nuair,a,bunaíodh,an,comhlacht,stáit,sa,bhliain,1925,",",bhí,soláthar,do,dhaoine,fásta,mar,chúram,air,freisin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,<START>,I,1997,",",mar,cheiliúradh,céad,bliain,ar,leabhar,Bram,Stoker,",",do,'fhoilsigh,an,Gúm,dhá,eagrán,nua-chóirithe,de,Dracula,",",ceann,do,léitheoirí,fásta,agus,ceann,do,dhéagóirí,",",agus,tá,díol,maith,orthu,ó,shin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,<START>,Tá,na,mílte,leabhar,á,bhfoilsiú,i,mBéarla,nach,léifeá,riamh,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,<START>,Sampla,eile,uaidh,den,rud,a,do,'oirfeadh,ná,cuid,do,'úrscéalta,an,duais-údair,Mheiriceánaigh,John,Steinbeck,-,saothair,réasúnta,gearra,iad,atá,an-mhaith,ach,nach,bhfeicfeá,romhat,i,mBéarla,i,ngach,siopa,leabhair,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,<START>,Iarradh,ar,Mhac,Lochlainn,sleachta,as,dhá,cheann,do,'úrscéalta,Peter,Tremayne,",",The,Leper,'s,Bell,agus,The,Haunted,Abbot,",",a,aistriú,beagán,blianta,ó,shin,",",tráth,a,raibh,fiosrú,á,dhéanamh,faoi,leaganacha,Gaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,<START>,``,Tuigeann,an,gnáthléitheoir,Bearla,'take,the,tonsure,','',",",arsa,Mac,Lochlainn,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,<START>,Mar,mhalairt,shimplithe,",",is,éard,a,mhol,sé,ná,:,'Is,mise,Eadulf,as,Seaxmund,'s,Ham,agus,bhí,mé,i,mo,bhreitheamh,san,áit,sin,sula,ndearnadh,manach,díom,",",díreach,mar,a,bhí,mo,'aithreacha,romham,.,',<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,<START>,Deir,Máire,Nic,Mhaoláin,gurbh,amhlaidh,a,bhí,i,gcás,Harry,Potter,agus,an,Órchloch,",",a,bhí,aistrithe,aici,go,Gaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,<START>,I,gcás,léitheoirí,fásta,",",creideann,sí,gur,ghá,spreagadh,an-láidir,chun,go,léifidís,leagan,Gaeilge,de,rogha,ar,an,mbun,Bhéarla,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,<START>,Choimisiúnaigh,New,Island,na,leabhair,ar,dtús,mar,ábhar,léitheoireachta,do,dhaoine,fásta,a,raibh,deacrachtaí,acu,léamh,i,mBéarla,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,<START>,Bhí,New,Island,agus,GOGG,araon,sásta,go,maith,leis,an,tionscnamh,agus,tá,na,scéalta,le,fail,anois,mar,chlosleabhair,Ghaeilge,freisin,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,<START>,In,Éirinn,amháin,",",gan,trácht,ar,thíortha,eile,",",díoladh,250,",",",000",cóip,den,chéad,úrscéal,a,scríobh,Marita,Conlon-McKenna,do,pháistí,",",Under,the,Hawthorn,Tree,",",atá,suite,le,linn,an,Ghorta,;,ach,deir,sí,nár,chuir,foilsitheoirí,Gaeilge,spéis,ann,nuair,a,mhol,sí,dóibh,é,mar,ábhar,aistriúcháin,;,agus,ba,é,a,foilsitheoir,féin,",",O'Brien,Press,",",a,thug,Faoin,Sceach,Gheal,ar,an,saol,sa,bhliain,2000,.,<END>,,,,,,,,,,,,,,,,,
67,<START>,Is,é,Clár,na,Leabhar,",",faoi,scáth,Fhoras,na,Gaeilge,",",atá,freagrach,as,na,príomh-scéimeanna,maoinithe,do,'fhoilsitheoirí,Gaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,<START>,Sa,taighde,margaíochta,a,foilsíodh,sa,bhliain,2007,(,féach,an,nasc,Taighde,ar,www.gaeilge.ie/clárnaleabhargaeilge,),níor,cuireadh,ceist,ar,bith,faoi,aistriúcháin,ó,Bhéarla,",",ach,bheadh,spéis,ag,Clár,na,Leabhar,in,aon,phíosa,taighde,a,dhéanfaí,ar,an,ábhar,feasta,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,<START>,Níl,sé,go,maith,tús,a,chur,le,scéimeanna,nua,an,t-am,ar,fad,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,<START>,Thagair,Ní,Dhuibhne,agus,daoine,eile,do,',ábhar,conspóide,eile,",",an,easpa,maoinithe,do,',aistriúcháin,ó,Ghaeilge,go,Béarla,",",``,an,droichead,go,dtí,na,teangacha,eile,",",'',mar,a,deir,siad,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,<START>,Anseo,in,Éirinn,",",mhol,Caoilfhionn,Nic,Pháidín,réiteach,ar,cheist,an,aistriúcháin,do,ghníomhaire,Peter,Tremayne,:,go,ndéanfaí,úrscéal,nua,a,choimisiúnú,agus,a,aistriú,go,Gaeilge,",",agus,gan,leagan,Béarla,an,leabhair,a,fhoilsiú,go,ceann,dhá,bhliana,i,ndiaidh,an,chinn,Ghaeilge,.,<END>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
